time_period,UK
1/4/1971,2.3938
1/5/1971,2.3949
1/6/1971,2.3967
1/7/1971,2.3963
1/8/1971,2.3972
1/11/1971,2.3992
1/12/1971,2.4001
1/13/1971,2.4021
1/14/1971,2.4071
1/15/1971,2.4057
1/18/1971,2.4052
1/19/1971,2.4081
1/20/1971,2.408
1/21/1971,2.4092
1/22/1971,2.4103
1/25/1971,2.4147
1/26/1971,2.416
1/27/1971,2.4161
1/28/1971,2.4169
1/29/1971,2.4174
2/1/1971,2.4184
2/2/1971,2.4181
2/3/1971,2.4184
2/4/1971,2.4167
2/5/1971,2.4147
2/8/1971,2.4182
2/9/1971,2.4151
2/10/1971,2.4159
2/11/1971,2.4158
2/12/1971,
2/15/1971,
2/16/1971,2.4193
2/17/1971,2.4193
2/18/1971,2.4191
2/19/1971,2.419
2/22/1971,2.4192
2/23/1971,2.4193
2/24/1971,2.4193
2/25/1971,2.4177
2/26/1971,2.416
3/1/1971,2.4162
3/2/1971,2.4184
3/3/1971,2.4193
3/4/1971,2.4179
3/5/1971,2.4183
3/8/1971,2.4192
3/9/1971,2.4188
3/10/1971,2.4192
3/11/1971,2.4188
3/12/1971,2.4193
3/15/1971,2.4193
3/16/1971,2.4183
3/17/1971,2.4194
3/18/1971,2.419
3/19/1971,2.419
3/22/1971,2.4193
3/23/1971,2.4193
3/24/1971,2.4194
3/25/1971,2.4185
3/26/1971,2.4188
3/29/1971,2.4194
3/30/1971,2.4181
3/31/1971,2.4168
4/1/1971,2.4147
4/2/1971,2.4125
4/5/1971,2.4161
4/6/1971,2.4189
4/7/1971,2.417
4/8/1971,2.4167
4/9/1971,2.4167
4/12/1971,2.4169
4/13/1971,2.4167
4/14/1971,2.418
4/15/1971,2.4187
4/16/1971,2.4186
4/19/1971,2.4193
4/20/1971,2.4193
4/21/1971,2.4196
4/22/1971,2.4187
4/23/1971,2.4189
4/26/1971,2.4188
4/27/1971,2.419
4/28/1971,2.4195
4/29/1971,2.4192
4/30/1971,2.4193
5/3/1971,2.4189
5/4/1971,2.4185
5/5/1971,2.4194
5/6/1971,2.4185
5/7/1971,2.4188
5/10/1971,2.4173
5/11/1971,2.417
5/12/1971,2.4183
5/13/1971,2.4183
5/14/1971,2.4186
5/17/1971,2.4193
5/18/1971,2.419
5/19/1971,2.4194
5/20/1971,2.4193
5/21/1971,2.4194
5/24/1971,2.4194
5/25/1971,2.419
5/26/1971,2.4194
5/27/1971,2.4187
5/28/1971,2.4178
5/31/1971,
6/1/1971,2.4162
6/2/1971,2.417
6/3/1971,2.4188
6/4/1971,2.419
6/7/1971,2.4192
6/8/1971,2.4188
6/9/1971,2.4194
6/10/1971,2.4193
6/11/1971,2.4194
6/14/1971,2.4186
6/15/1971,2.4187
6/16/1971,2.4193
6/17/1971,2.4189
